2025-11-10 20:18:18 Auto fired at enemy
2025-11-10 20:18:18 Auto fired at enemy
2025-11-10 20:18:18 Auto fired at enemy
2025-11-10 20:18:18 Auto fired at enemy
2025-11-10 20:18:18 Auto fired at enemy
2025-11-10 20:18:18 Auto fired at enemy
2025-11-10 20:18:18 Auto fired at enemy
2025-11-10 20:18:18 Auto fired at enemy
2025-11-10 20:18:19 Auto fired at enemy
2025-11-10 20:18:19 Auto fired at enemy
2025-11-10 20:18:19 Auto fired at enemy
2025-11-10 20:18:19 Auto fired at enemy
2025-11-10 20:18:19 Auto fired at enemy
2025-11-10 20:18:19 Auto fired at enemy
2025-11-10 20:18:19 Auto fired at enemy
2025-11-10 20:18:19 Auto fired at enemy
2025-11-10 20:18:19 Auto fired at enemy
2025-11-10 20:18:19 Auto fired at enemy
2025-11-10 20:18:20 Auto fired at enemy
2025-11-10 20:18:20 Auto fired at enemy
2025-11-10 20:18:20 Auto fired at enemy
2025-11-10 20:18:20 Auto fired at enemy
2025-11-10 20:18:20 Auto fired at enemy
2025-11-10 20:18:20 Auto fired at enemy
2025-11-10 20:18:20 Auto fired at enemy
2025-11-10 20:18:20 Auto fired at enemy
2025-11-10 20:18:20 Auto fired at enemy
2025-11-10 20:18:21 Auto fired at enemy
2025-11-10 20:18:21 Auto fired at enemy
2025-11-10 20:18:21 Auto fired at enemy
2025-11-10 20:18:21 Spawned 10 enemies
2025-11-10 20:18:21 Auto fired at enemy
2025-11-10 20:18:21 Auto fired at enemy
2025-11-10 20:18:21 Auto fired at enemy
2025-11-10 20:18:21 Auto fired at enemy
2025-11-10 20:18:21 Auto fired at enemy
2025-11-10 20:18:22 Auto fired at enemy
2025-11-10 20:18:22 Auto fired at enemy
2025-11-10 20:18:22 Auto fired at enemy
2025-11-10 20:18:22 Auto fired at enemy
2025-11-10 20:18:22 Auto fired at enemy
2025-11-10 20:18:22 Auto fired at enemy
2025-11-10 20:18:22 Auto fired at enemy
2025-11-10 20:18:22 Auto fired at enemy
2025-11-10 20:18:22 Auto fired at enemy
2025-11-10 20:18:22 Auto fired at enemy
2025-11-10 20:18:23 Auto fired at enemy
2025-11-10 20:18:23 Auto fired at enemy
2025-11-10 20:18:23 Auto fired at enemy
2025-11-10 20:18:23 Auto fired at enemy
2025-11-10 20:18:23 Auto fired at enemy
2025-11-10 20:18:23 Auto fired at enemy
2025-11-10 20:18:23 Auto fired at enemy
2025-11-10 20:18:23 Auto fired at enemy
2025-11-10 20:18:23 Auto fired at enemy
2025-11-10 20:18:24 Auto fired at enemy
2025-11-10 20:18:24 Auto fired at enemy
2025-11-10 20:18:24 Auto fired at enemy
2025-11-10 20:18:24 Auto fired at enemy
2025-11-10 20:18:24 Auto fired at enemy
2025-11-10 20:18:24 Auto fired at enemy
2025-11-10 20:18:24 Auto fired at enemy
2025-11-10 20:18:24 Auto fired at enemy
2025-11-10 20:18:24 Auto fired at enemy
2025-11-10 20:18:24 Auto fired at enemy
2025-11-10 20:18:25 Auto fired at enemy
2025-11-10 20:18:25 Auto fired at enemy
2025-11-10 20:18:25 Auto fired at enemy
2025-11-10 20:18:25 Auto fired at enemy
2025-11-10 20:18:25 Auto fired at enemy
2025-11-10 20:18:25 Auto fired at enemy
2025-11-10 20:18:25 Auto fired at enemy
2025-11-10 20:18:25 Auto fired at enemy
2025-11-10 20:18:25 Auto fired at enemy
2025-11-10 20:18:26 Auto fired at enemy
2025-11-10 20:18:26 Auto fired at enemy
2025-11-10 20:18:26 Auto fired at enemy
2025-11-10 20:18:26 Auto fired at enemy
2025-11-10 20:18:26 Spawned 10 enemies
2025-11-10 20:18:26 Auto fired at enemy
2025-11-10 20:18:26 Auto fired at enemy
2025-11-10 20:18:26 Auto fired at enemy
2025-11-10 20:18:26 Auto fired at enemy
2025-11-10 20:18:26 Auto fired at enemy
2025-11-10 20:18:27 Auto fired at enemy
2025-11-10 20:18:27 Auto fired at enemy
2025-11-10 20:18:27 Auto fired at enemy
2025-11-10 20:18:27 Auto fired at enemy
2025-11-10 20:18:27 Auto fired at enemy
2025-11-10 20:18:27 Auto fired at enemy
2025-11-10 20:18:27 Auto fired at enemy
2025-11-10 20:18:27 Auto fired at enemy
2025-11-10 20:18:27 Auto fired at enemy
2025-11-10 20:18:28 Auto fired at enemy
2025-11-10 20:18:28 Auto fired at enemy
2025-11-10 20:18:28 Auto fired at enemy
2025-11-10 20:18:28 Auto fired at enemy
2025-11-10 20:18:28 Auto fired at enemy
2025-11-10 20:18:28 Auto fired at enemy
2025-11-10 20:18:28 Auto fired at enemy
2025-11-10 20:18:28 Auto fired at enemy
2025-11-10 20:18:28 Auto fired at enemy
2025-11-10 20:18:29 Auto fired at enemy
2025-11-10 20:18:29 Auto fired at enemy
2025-11-10 20:18:29 Auto fired at enemy
2025-11-10 20:18:29 Auto fired at enemy
2025-11-10 20:18:29 Auto fired at enemy
2025-11-10 20:18:29 Auto fired at enemy
2025-11-10 20:18:29 Auto fired at enemy
2025-11-10 20:18:29 Auto fired at enemy
2025-11-10 20:18:29 Auto fired at enemy
2025-11-10 20:18:29 Auto fired at enemy
2025-11-10 20:18:30 Auto fired at enemy
2025-11-10 20:18:30 Auto fired at enemy
2025-11-10 20:18:30 Auto fired at enemy
2025-11-10 20:18:30 Auto fired at enemy
2025-11-10 20:18:30 Auto fired at enemy
2025-11-10 20:18:30 Auto fired at enemy
2025-11-10 20:18:30 Auto fired at enemy
2025-11-10 20:18:30 Auto fired at enemy
2025-11-10 20:18:30 Auto fired at enemy
2025-11-10 20:18:31 Auto fired at enemy
2025-11-10 20:18:31 Auto fired at enemy
2025-11-10 20:18:31 Auto fired at enemy
2025-11-10 20:18:31 Auto fired at enemy
2025-11-10 20:18:31 Auto fired at enemy
2025-11-10 20:18:31 Auto fired at enemy
2025-11-10 20:18:31 Auto fired at enemy
2025-11-10 20:18:31 Auto fired at enemy
2025-11-10 20:18:31 Auto fired at enemy
2025-11-10 20:18:32 Auto fired at enemy
2025-11-10 20:18:32 Auto fired at enemy
2025-11-10 20:18:32 Auto fired at enemy
2025-11-10 20:18:32 Auto fired at enemy
2025-11-10 20:18:32 Auto fired at enemy
2025-11-10 20:18:32 Auto fired at enemy
2025-11-10 20:18:32 Auto fired at enemy
2025-11-10 20:18:32 Auto fired at enemy
2025-11-10 20:18:32 Auto fired at enemy
2025-11-10 20:18:33 Auto fired at enemy
2025-11-10 20:18:33 Auto fired at enemy
2025-11-10 20:18:33 Auto fired at enemy
2025-11-10 20:18:33 Auto fired at enemy
2025-11-10 20:18:33 Auto fired at enemy
2025-11-10 20:18:33 Auto fired at enemy
2025-11-10 20:18:33 Auto fired at enemy
2025-11-10 20:18:33 Auto fired at enemy
2025-11-10 20:18:33 Auto fired at enemy
2025-11-10 20:18:34 Auto fired at enemy
2025-11-10 20:18:34 Auto fired at enemy
2025-11-10 20:18:34 Auto fired at enemy
2025-11-10 20:18:34 Auto fired at enemy
2025-11-10 20:18:34 Auto fired at enemy
2025-11-10 20:18:34 Auto fired at enemy
2025-11-10 20:18:34 Auto fired at enemy
2025-11-10 20:18:34 Auto fired at enemy
2025-11-10 20:18:34 Auto fired at enemy
2025-11-10 20:18:36 New wave coming...
2025-11-10 20:18:36 Spawned 10 enemies
2025-11-10 20:18:36 Auto fired at enemy
2025-11-10 20:18:37 Auto fired at enemy
2025-11-10 20:18:37 Auto fired at enemy
2025-11-10 20:18:37 Auto fired at enemy
2025-11-10 20:18:37 Auto fired at enemy
2025-11-10 20:18:37 Auto fired at enemy
2025-11-10 20:18:37 Auto fired at enemy
2025-11-10 20:18:37 Auto fired at enemy
2025-11-10 20:18:37 Auto fired at enemy
2025-11-10 20:18:37 Auto fired at enemy
2025-11-10 20:18:38 Auto fired at enemy
2025-11-10 20:18:38 Auto fired at enemy
2025-11-10 20:18:38 Auto fired at enemy
2025-11-10 20:18:38 Auto fired at enemy
2025-11-10 20:18:38 Auto fired at enemy
2025-11-10 20:18:38 Auto fired at enemy
2025-11-10 20:18:38 Auto fired at enemy
2025-11-10 20:18:38 Auto fired at enemy
2025-11-10 20:18:38 Auto fired at enemy
2025-11-10 20:18:39 Auto fired at enemy
2025-11-10 20:18:39 Auto fired at enemy
2025-11-10 20:18:39 Auto fired at enemy
2025-11-10 20:18:39 Auto fired at enemy
2025-11-10 20:18:39 Auto fired at enemy
2025-11-10 20:18:39 Auto fired at enemy
2025-11-10 20:18:39 Auto fired at enemy
2025-11-10 20:18:39 Auto fired at enemy
2025-11-10 20:18:39 Auto fired at enemy
2025-11-10 20:18:40 Auto fired at enemy
2025-11-10 20:18:40 Auto fired at enemy
2025-11-10 20:18:40 Auto fired at enemy
2025-11-10 20:18:40 Auto fired at enemy
2025-11-10 20:18:40 Auto fired at enemy
2025-11-10 20:18:40 Auto fired at enemy
2025-11-10 20:18:40 Auto fired at enemy
2025-11-10 20:18:40 Auto fired at enemy
2025-11-10 20:18:41 Auto fired at enemy
2025-11-10 20:18:41 Spawned 10 enemies
2025-11-10 20:18:41 Auto fired at enemy
2025-11-10 20:18:41 Auto fired at enemy
2025-11-10 20:18:41 Auto fired at enemy
2025-11-10 20:18:41 Auto fired at enemy
2025-11-10 20:18:41 Auto fired at enemy
2025-11-10 20:18:42 Auto fired at enemy
2025-11-10 20:18:42 Auto fired at enemy
2025-11-10 20:18:42 Auto fired at enemy
2025-11-10 20:18:42 Auto fired at enemy
2025-11-10 20:18:42 Auto fired at enemy
2025-11-10 20:18:42 Auto fired at enemy
2025-11-10 20:18:42 Auto fired at enemy
2025-11-10 20:18:42 Auto fired at enemy
2025-11-10 20:18:42 Auto fired at enemy
2025-11-10 20:18:43 Auto fired at enemy
2025-11-10 20:18:43 Auto fired at enemy
2025-11-10 20:18:43 Auto fired at enemy
2025-11-10 20:18:43 Auto fired at enemy
2025-11-10 20:18:43 Auto fired at enemy
2025-11-10 20:18:43 Auto fired at enemy
2025-11-10 20:18:43 Auto fired at enemy
2025-11-10 20:18:43 Auto fired at enemy
2025-11-10 20:18:43 Auto fired at enemy
2025-11-10 20:18:43 Auto fired at enemy
2025-11-10 20:18:46 Spawned 10 enemies
2025-11-10 20:18:46 Auto fired at enemy
2025-11-10 20:18:46 Auto fired at enemy
2025-11-10 20:18:46 Auto fired at enemy
2025-11-10 20:18:46 Auto fired at enemy
2025-11-10 20:18:46 Auto fired at enemy
2025-11-10 20:18:46 Auto fired at enemy
2025-11-10 20:18:46 Auto fired at enemy
2025-11-10 20:18:47 Auto fired at enemy
2025-11-10 20:18:47 Auto fired at enemy
2025-11-10 20:18:47 Auto fired at enemy
2025-11-10 20:18:47 Auto fired at enemy
2025-11-10 20:18:47 Auto fired at enemy
2025-11-10 20:18:47 Auto fired at enemy
2025-11-10 20:18:47 Auto fired at enemy
2025-11-10 20:18:47 Auto fired at enemy
2025-11-10 20:18:47 Auto fired at enemy
2025-11-10 20:18:48 Auto fired at enemy
2025-11-10 20:18:48 Auto fired at enemy
2025-11-10 20:18:48 Auto fired at enemy
2025-11-10 20:18:48 Auto fired at enemy
2025-11-10 20:18:48 Auto fired at enemy
2025-11-10 20:18:48 Auto fired at enemy
2025-11-10 20:18:48 Auto fired at enemy
2025-11-10 20:18:48 Auto fired at enemy
2025-11-10 20:18:48 Auto fired at enemy
2025-11-10 20:18:49 Auto fired at enemy
2025-11-10 20:18:49 Auto fired at enemy
2025-11-10 20:18:49 Auto fired at enemy
2025-11-10 20:18:49 Auto fired at enemy
2025-11-10 20:18:49 Auto fired at enemy
2025-11-10 20:18:49 Auto fired at enemy
2025-11-10 20:18:49 Auto fired at enemy
2025-11-10 20:18:49 Auto fired at enemy
2025-11-10 20:18:50 Auto fired at enemy
2025-11-10 20:18:50 Auto fired at enemy
2025-11-10 20:18:50 Auto fired at enemy
2025-11-10 20:18:50 Auto fired at enemy
2025-11-10 20:18:50 Auto fired at enemy
2025-11-10 20:18:50 Auto fired at enemy
2025-11-10 20:18:50 Auto fired at enemy
2025-11-10 20:18:50 Auto fired at enemy
2025-11-10 20:18:50 Auto fired at enemy
2025-11-10 20:18:51 Auto fired at enemy
2025-11-10 20:18:51 Auto fired at enemy
2025-11-10 20:18:51 Auto fired at enemy
2025-11-10 20:18:51 Spawned 10 enemies
2025-11-10 20:18:51 Auto fired at enemy
2025-11-10 20:18:51 Auto fired at enemy
2025-11-10 20:18:51 Auto fired at enemy
2025-11-10 20:18:51 Auto fired at enemy
2025-11-10 20:18:51 Auto fired at enemy
2025-11-10 20:18:51 Auto fired at enemy
2025-11-10 20:18:52 Auto fired at enemy
2025-11-10 20:18:52 Auto fired at enemy
2025-11-10 20:18:52 Auto fired at enemy
2025-11-10 20:18:52 Auto fired at enemy
2025-11-10 20:18:52 Auto fired at enemy
2025-11-10 20:18:52 Auto fired at enemy
2025-11-10 20:18:52 Auto fired at enemy
2025-11-10 20:18:52 Auto fired at enemy
2025-11-10 20:18:52 Auto fired at enemy
2025-11-10 20:18:52 Auto fired at enemy
2025-11-10 20:18:53 Auto fired at enemy
2025-11-10 20:18:53 Auto fired at enemy
2025-11-10 20:18:53 Auto fired at enemy
2025-11-10 20:18:53 Auto fired at enemy
2025-11-10 20:18:53 Auto fired at enemy
2025-11-10 20:18:53 Auto fired at enemy
2025-11-10 20:18:53 Auto fired at enemy
2025-11-10 20:18:53 Auto fired at enemy
2025-11-10 20:18:54 Auto fired at enemy
2025-11-10 20:18:54 Auto fired at enemy
2025-11-10 20:18:54 Auto fired at enemy
2025-11-10 20:18:54 Auto fired at enemy
2025-11-10 20:18:54 Auto fired at enemy
2025-11-10 20:18:54 Auto fired at enemy
2025-11-10 20:18:54 Auto fired at enemy
2025-11-10 20:18:54 Auto fired at enemy
2025-11-10 20:18:54 Auto fired at enemy
2025-11-10 20:18:55 Auto fired at enemy
2025-11-10 20:18:55 Auto fired at enemy
2025-11-10 20:18:55 Auto fired at enemy
2025-11-10 20:18:55 Auto fired at enemy
2025-11-10 20:18:55 Auto fired at enemy
2025-11-10 20:18:55 Auto fired at enemy
2025-11-10 20:18:55 Auto fired at enemy
2025-11-10 20:18:55 Auto fired at enemy
2025-11-10 20:18:55 Auto fired at enemy
2025-11-10 20:18:56 Auto fired at enemy
2025-11-10 20:18:56 Auto fired at enemy
2025-11-10 20:18:56 Auto fired at enemy
2025-11-10 20:18:56 Auto fired at enemy
2025-11-10 20:19:05 Auto fired at enemy
2025-11-10 20:19:05 Auto fired at enemy
2025-11-10 20:19:05 Auto fired at enemy
2025-11-10 20:19:05 Auto fired at enemy
2025-11-10 20:19:05 Auto fired at enemy
2025-11-10 20:19:05 Auto fired at enemy
2025-11-10 20:19:06 Auto fired at enemy
2025-11-10 20:19:06 Auto fired at enemy
2025-11-10 20:19:06 Auto fired at enemy
2025-11-10 20:19:06 Auto fired at enemy
